id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd,
1,150-fm (274-m) Contour - N 40 10 - Petrale,48,14.96,N,125,41.24,W,48.24936,-125.68738,
2,150-fm (274-m) Contour - N 40 10 - Petrale,48,12.89,N,125,37.83,W,48.21476,-125.63053,
3,150-fm (274-m) Contour - N 40 10 - Petrale,48,11.49,N,125,39.27,W,48.19154,-125.65454,
4,150-fm (274-m) Contour - N 40 10 - Petrale,48,10.00,N,125,40.65,W,48.16667,-125.67754,
5,150-fm (274-m) Contour - N 40 10 - Petrale,48,08.72,N,125,41.84,W,48.14530,-125.69731,
6,150-fm (274-m) Contour - N 40 10 - Petrale,48,07.00,N,125,45.00,W,48.11667,-125.75000,
7,150-fm (274-m) Contour - N 40 10 - Petrale,48,06.13,N,125,41.57,W,48.10209,-125.69275,
8,150-fm (274-m) Contour - N 40 10 - Petrale,48,05.00,N,125,39.00,W,48.08333,-125.65000,
9,150-fm (274-m) Contour - N 40 10 - Petrale,48,04.15,N,125,36.71,W,48.06913,-125.61190,
10,150-fm (274-m) Contour - N 40 10 - Petrale,48,03.00,N,125,36.00,W,48.05000,-125.60000,
11,150-fm (274-m) Contour - N 40 10 - Petrale,48,01.65,N,125,36.96,W,48.02758,-125.61595,
12,150-fm (274-m) Contour - N 40 10 - Petrale,48,01.00,N,125,38.50,W,48.01667,-125.64167,
13,150-fm (274-m) Contour - N 40 10 - Petrale,47,57.50,N,125,36.50,W,47.95833,-125.60833,
14,150-fm (274-m) Contour - N 40 10 - Petrale,47,56.53,N,125,30.33,W,47.94211,-125.50548,
15,150-fm (274-m) Contour - N 40 10 - Petrale,47,57.28,N,125,27.89,W,47.95460,-125.46479,
16,150-fm (274-m) Contour - N 40 10 - Petrale,47,59.00,N,125,25.50,W,47.98333,-125.42500,
17,150-fm (274-m) Contour - N 40 10 - Petrale,48,01.77,N,125,24.05,W,48.02958,-125.40088,
18,150-fm (274-m) Contour - N 40 10 - Petrale,48,02.08,N,125,22.98,W,48.03467,-125.38300,
19,150-fm (274-m) Contour - N 40 10 - Petrale,48,03.00,N,125,22.50,W,48.05000,-125.37500,
20,150-fm (274-m) Contour - N 40 10 - Petrale,48,03.46,N,125,22.10,W,48.05769,-125.36841,
21,150-fm (274-m) Contour - N 40 10 - Petrale,48,04.29,N,125,20.37,W,48.07149,-125.33951,
22,150-fm (274-m) Contour - N 40 10 - Petrale,48,02.00,N,125,18.50,W,48.03333,-125.30833,
23,150-fm (274-m) Contour - N 40 10 - Petrale,48,00.01,N,125,19.90,W,48.00016,-125.33170,
24,150-fm (274-m) Contour - N 40 10 - Petrale,47,58.75,N,125,17.54,W,47.97909,-125.29230,
25,150-fm (274-m) Contour - N 40 10 - Petrale,47,53.50,N,125,13.50,W,47.89167,-125.22500,
26,150-fm (274-m) Contour - N 40 10 - Petrale,47,48.88,N,125,05.91,W,47.81459,-125.09849,
27,150-fm (274-m) Contour - N 40 10 - Petrale,47,48.50,N,125,05.00,W,47.80833,-125.08333,
28,150-fm (274-m) Contour - N 40 10 - Petrale,47,45.98,N,125,04.26,W,47.76632,-125.07104,
29,150-fm (274-m) Contour - N 40 10 - Petrale,47,45.00,N,125,05.50,W,47.75000,-125.09167,
30,150-fm (274-m) Contour - N 40 10 - Petrale,47,42.11,N,125,04.74,W,47.70191,-125.07902,
31,150-fm (274-m) Contour - N 40 10 - Petrale,47,39.00,N,125,06.00,W,47.65000,-125.10000,
32,150-fm (274-m) Contour - N 40 10 - Petrale,47,35.53,N,125,04.55,W,47.59212,-125.07578,
33,150-fm (274-m) Contour - N 40 10 - Petrale,47,30.90,N,124,57.31,W,47.51508,-124.95514,
34,150-fm (274-m) Contour - N 40 10 - Petrale,47,29.54,N,124,56.50,W,47.49228,-124.94175,
35,150-fm (274-m) Contour - N 40 10 - Petrale,47,29.50,N,124,54.50,W,47.49167,-124.90833,
36,150-fm (274-m) Contour - N 40 10 - Petrale,47,28.57,N,124,51.50,W,47.47622,-124.85837,
37,150-fm (274-m) Contour - N 40 10 - Petrale,47,25.00,N,124,48.00,W,47.41667,-124.80000,
38,150-fm (274-m) Contour - N 40 10 - Petrale,47,23.95,N,124,47.24,W,47.39908,-124.78732,
39,150-fm (274-m) Contour - N 40 10 - Petrale,47,23.00,N,124,47.00,W,47.38333,-124.78333,
40,150-fm (274-m) Contour - N 40 10 - Petrale,47,21.00,N,124,46.50,W,47.35000,-124.77500,
41,150-fm (274-m) Contour - N 40 10 - Petrale,47,18.20,N,124,45.84,W,47.30336,-124.76395,
42,150-fm (274-m) Contour - N 40 10 - Petrale,47,18.50,N,124,49.00,W,47.30833,-124.81667,
43,150-fm (274-m) Contour - N 40 10 - Petrale,47,19.17,N,124,50.86,W,47.31947,-124.84764,
44,150-fm (274-m) Contour - N 40 10 - Petrale,47,18.07,N,124,53.29,W,47.30111,-124.88824,
45,150-fm (274-m) Contour - N 40 10 - Petrale,47,17.78,N,124,51.39,W,47.29627,-124.85648,
46,150-fm (274-m) Contour - N 40 10 - Petrale,47,16.81,N,124,50.85,W,47.28011,-124.84747,
47,150-fm (274-m) Contour - N 40 10 - Petrale,47,15.96,N,124,53.15,W,47.26597,-124.88585,
48,150-fm (274-m) Contour - N 40 10 - Petrale,47,14.31,N,124,52.62,W,47.23851,-124.87702,
49,150-fm (274-m) Contour - N 40 10 - Petrale,47,11.87,N,124,56.90,W,47.19789,-124.94839,
50,150-fm (274-m) Contour - N 40 10 - Petrale,47,12.39,N,124,58.09,W,47.20649,-124.96811,
51,150-fm (274-m) Contour - N 40 10 - Petrale,47,09.50,N,124,57.50,W,47.15833,-124.95833,
52,150-fm (274-m) Contour - N 40 10 - Petrale,47,09.00,N,124,59.00,W,47.15000,-124.98333,
53,150-fm (274-m) Contour - N 40 10 - Petrale,47,06.06,N,124,58.80,W,47.10104,-124.97996,
54,150-fm (274-m) Contour - N 40 10 - Petrale,47,03.62,N,124,55.96,W,47.06027,-124.93259,
55,150-fm (274-m) Contour - N 40 10 - Petrale,47,02.89,N,124,56.89,W,47.04822,-124.94812,
56,150-fm (274-m) Contour - N 40 10 - Petrale,47,01.04,N,124,59.54,W,47.01729,-124.99240,
57,150-fm (274-m) Contour - N 40 10 - Petrale,46,58.47,N,124,59.08,W,46.97452,-124.98470,
58,150-fm (274-m) Contour - N 40 10 - Petrale,46,58.36,N,124,59.82,W,46.97266667,-124.997,
59,150-fm (274-m) Contour - N 40 10 - Petrale,46,56.80,N,125,00.00,W,46.94666667,-125,
60,150-fm (274-m) Contour - N 40 10 - Petrale,46,56.62,N,125,00.00,W,46.94366667,-125,
61,150-fm (274-m) Contour - N 40 10 - Petrale,46,57.09,N,124,58.86,W,46.95153,-124.98100,
62,150-fm (274-m) Contour - N 40 10 - Petrale,46,55.95,N,124,54.88,W,46.93243,-124.91463,
63,150-fm (274-m) Contour - N 40 10 - Petrale,46,54.79,N,124,54.14,W,46.91310,-124.90227,
64,150-fm (274-m) Contour - N 40 10 - Petrale,46,58.00,N,124,50.00,W,46.96667,-124.83333,
65,150-fm (274-m) Contour - N 40 10 - Petrale,46,54.50,N,124,49.00,W,46.90833,-124.81667,
66,150-fm (274-m) Contour - N 40 10 - Petrale,46,54.53,N,124,52.94,W,46.90877,-124.88238,
67,150-fm (274-m) Contour - N 40 10 - Petrale,46,49.52,N,124,53.41,W,46.82530,-124.89017,
68,150-fm (274-m) Contour - N 40 10 - Petrale,46,42.24,N,124,47.86,W,46.70400,-124.79767,
69,150-fm (274-m) Contour - N 40 10 - Petrale,46,39.50,N,124,42.50,W,46.65833,-124.70833,
70,150-fm (274-m) Contour - N 40 10 - Petrale,46,38.17,N,124,41.50,W,46.63617,-124.69171,
71,150-fm (274-m) Contour - N 40 10 - Petrale,46,37.50,N,124,41.00,W,46.62500,-124.68333,
72,150-fm (274-m) Contour - N 40 10 - Petrale,46,36.50,N,124,38.00,W,46.60833,-124.63333,
73,150-fm (274-m) Contour - N 40 10 - Petrale,46,33.85,N,124,36.99,W,46.56409,-124.61645,
74,150-fm (274-m) Contour - N 40 10 - Petrale,46,33.50,N,124,29.50,W,46.55833,-124.49167,
75,150-fm (274-m) Contour - N 40 10 - Petrale,46,32.00,N,124,31.00,W,46.53333,-124.51667,
76,150-fm (274-m) Contour - N 40 10 - Petrale,46,30.53,N,124,30.55,W,46.50879,-124.50913,
77,150-fm (274-m) Contour - N 40 10 - Petrale,46,25.50,N,124,33.00,W,46.42500,-124.55000,
78,150-fm (274-m) Contour - N 40 10 - Petrale,46,23.00,N,124,35.00,W,46.38333,-124.58333,
79,150-fm (274-m) Contour - N 40 10 - Petrale,46,21.05,N,124,37.00,W,46.35083,-124.61667,
80,150-fm (274-m) Contour - N 40 10 - Petrale,46,20.64,N,124,36.21,W,46.34401,-124.60347,
81,150-fm (274-m) Contour - N 40 10 - Petrale,46,20.36,N,124,37.85,W,46.33939,-124.63083,
82,150-fm (274-m) Contour - N 40 10 - Petrale,46,19.48,N,124,38.35,W,46.32469,-124.63924,
