id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd,
1,200-fm (366-m) Contour - Coastwide,48,14.75,N,125,41.73,W,48.2458,-125.6955,
2,200-fm (366-m) Contour - Coastwide,48,12.85,N,125,38.06,W,48.2142,-125.6343,
3,200-fm (366-m) Contour - Coastwide,48,10.00,N,125,41.82,W,48.1667,-125.6970,
4,200-fm (366-m) Contour - Coastwide,48,07.10,N,125,45.65,W,48.1183,-125.7608,
5,200-fm (366-m) Contour - Coastwide,48,05.71,N,125,44.70,W,48.0952,-125.7450,
6,200-fm (366-m) Contour - Coastwide,48,04.07,N,125,36.96,W,48.0678,-125.6160,
7,200-fm (366-m) Contour - Coastwide,48,03.05,N,125,36.38,W,48.0508,-125.6063,
8,200-fm (366-m) Contour - Coastwide,48,01.98,N,125,37.41,W,48.0330,-125.6235,
9,200-fm (366-m) Contour - Coastwide,48,01.46,N,125,39.61,W,48.0243,-125.6602,
10,200-fm (366-m) Contour - Coastwide,47,56.94,N,125,36.65,W,47.9490,-125.6108,
11,200-fm (366-m) Contour - Coastwide,47,55.11,N,125,36.92,W,47.9185,-125.6153,
12,200-fm (366-m) Contour - Coastwide,47,54.10,N,125,34.98,W,47.9017,-125.5830,
13,200-fm (366-m) Contour - Coastwide,47,54.50,N,125,32.01,W,47.9083,-125.5335,
14,200-fm (366-m) Contour - Coastwide,47,55.77,N,125,30.13,W,47.9295,-125.5022,
15,200-fm (366-m) Contour - Coastwide,47,55.65,N,125,28.46,W,47.9275,-125.4743,
16,200-fm (366-m) Contour - Coastwide,47,58.11,N,125,26.60,W,47.9685,-125.4433,
17,200-fm (366-m) Contour - Coastwide,48,00.40,N,125,24.83,W,48.0067,-125.4138,
18,200-fm (366-m) Contour - Coastwide,48,02.04,N,125,22.90,W,48.0340,-125.3817,
19,200-fm (366-m) Contour - Coastwide,48,03.60,N,125,21.84,W,48.0600,-125.3640,
20,200-fm (366-m) Contour - Coastwide,48,03.98,N,125,20.65,W,48.0663,-125.3442,
21,200-fm (366-m) Contour - Coastwide,48,03.26,N,125,19.76,W,48.0543,-125.3293,
22,200-fm (366-m) Contour - Coastwide,48,01.50,N,125,18.80,W,48.0250,-125.3133,
23,200-fm (366-m) Contour - Coastwide,48,01.03,N,125,20.12,W,48.0172,-125.3353,
24,200-fm (366-m) Contour - Coastwide,48,00.04,N,125,20.26,W,48.0007,-125.3377,
25,200-fm (366-m) Contour - Coastwide,47,58.10,N,125,18.91,W,47.9683,-125.3152,
26,200-fm (366-m) Contour - Coastwide,47,58.17,N,125,17.50,W,47.9695,-125.2917,
27,200-fm (366-m) Contour - Coastwide,47,52.33,N,125,15.78,W,47.8722,-125.2630,
28,200-fm (366-m) Contour - Coastwide,47,49.20,N,125,10.67,W,47.8200,-125.1778,
29,200-fm (366-m) Contour - Coastwide,47,48.27,N,125,07.38,W,47.8045,-125.1230,
30,200-fm (366-m) Contour - Coastwide,47,47.24,N,125,05.38,W,47.7873,-125.0897,
31,200-fm (366-m) Contour - Coastwide,47,45.95,N,125,04.61,W,47.7658,-125.0768,
32,200-fm (366-m) Contour - Coastwide,47,44.58,N,125,07.12,W,47.7430,-125.1187,
