id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd
1,25-fm (46-m) Contour - Washington,47,31.70,N,124,34.66,W,47.52833333,-124.5776667
2,25-fm (46-m) Contour - Washington,47,25.67,N,124,32.78,W,47.42783333,-124.5463333
3,25-fm (46-m) Contour - Washington,47,12.82,N,124,26.00,W,47.21366667,-124.4333333
4,25-fm (46-m) Contour - Washington,46,52.94,N,124,18.94,W,46.88233333,-124.3156667
5,25-fm (46-m) Contour - Washington,46,44.18,N,124,14.89,W,46.73633333,-124.2481667
6,25-fm (46-m) Contour - Washington,46,38.17,N,124,13.70,W,46.63616667,-124.2283333
7,25-fm (46-m) Contour - Washington,46,16.00,N,124,12.50,W,46.26666667,-124.2083333
8,25-fm (46-m) Contour - Oregon,46,15.99,,124,12.036,,46.2665,-124.2006
9,25-fm (46-m) Contour - Oregon,46,13.722,,124,11.04,,46.2287,-124.184
10,25-fm (46-m) Contour - Oregon,46,9.498,,124,7.62,,46.1583,-124.127
11,25-fm (46-m) Contour - Oregon,46,3.996,,124,3.198,,46.0666,-124.0533
12,25-fm (46-m) Contour - Oregon,45,57.606,,124,1.854,,45.9601,-124.0309
13,25-fm (46-m) Contour - Oregon,45,51.732,,124,1.056,,45.8622,-124.0176
14,25-fm (46-m) Contour - Oregon,45,47.268,,124,1.224,,45.7878,-124.0204
15,25-fm (46-m) Contour - Oregon,45,46,,124,0.942014728,,45.76666667,-124.0157002
16,25-fm (46-m) Contour - Oregon,45,43.194,,124,0.318,,45.7199,-124.0053
17,25-fm (46-m) Contour - Oregon,45,36.114,,124,0.384,,45.6019,-124.0064
18,25-fm (46-m) Contour - Oregon,45,32.952,,124,1.38,,45.5492,-124.023
19,25-fm (46-m) Contour - Oregon,45,27.468,,124,1.464,,45.4578,-124.0244
20,25-fm (46-m) Contour - Oregon,45,23.178,,124,1.944,,45.3863,-124.0324
21,25-fm (46-m) Contour - Oregon,45,19.038,,124,1.29,,45.3173,-124.0215
22,25-fm (46-m) Contour - Oregon,45,16.788,,124,1.896,,45.2798,-124.0316
23,25-fm (46-m) Contour - Oregon,45,13.536,,124,1.638,,45.2256,-124.0273
24,25-fm (46-m) Contour - Oregon,45,9.564,,124,1.938,,45.1594,-124.0323
25,25-fm (46-m) Contour - Oregon,45,6.15,,124,2.376,,45.1025,-124.0396
26,25-fm (46-m) Contour - Oregon,45,3.83,,124,2.956,,45.06383333,-124.0492667
27,25-fm (46-m) Contour - Oregon,45,0.774,,124,3.72,,45.0129,-124.062
28,25-fm (46-m) Contour - Oregon,44,49.08,,124,6.492,,44.818,-124.1082
29,25-fm (46-m) Contour - Oregon,44,40.062,,124,8.136,,44.6677,-124.1356
30,25-fm (46-m) Contour - Oregon,44,36.642,,124,8.508,,44.6107,-124.1418
