id_area,area_name,lat_deg,lat_min,lat_dir,lon_deg,lon_min,lon_dir,lat_dd,lon_dd
1,60-fm (110-m) Contour - Coastwide,48,26.7,N,125,9.43,W,48.445,-125.1572
2,60-fm (110-m) Contour - Coastwide,48,23.76,N,125,6.77,W,48.396,-125.1128
3,60-fm (110-m) Contour - Coastwide,48,23.01,N,125,3.48,W,48.3835,-125.058
4,60-fm (110-m) Contour - Coastwide,48,22.42,N,124,57.84,W,48.3737,-124.964
5,60-fm (110-m) Contour - Coastwide,48,22.62,N,124,48.97,W,48.377,-124.8162
6,60-fm (110-m) Contour - Coastwide,48,18.61,N,124,52.52,W,48.3102,-124.8753
7,60-fm (110-m) Contour - Coastwide,48,16.62,N,124,54.03,W,48.277,-124.9005
8,60-fm (110-m) Contour - Coastwide,48,15.39,N,124,54.79,W,48.2565,-124.9132
9,60-fm (110-m) Contour - Coastwide,48,13.81,N,124,55.45,W,48.2302,-124.9242
10,60-fm (110-m) Contour - Coastwide,48,10.51,N,124,56.56,W,48.1752,-124.9427
11,60-fm (110-m) Contour - Coastwide,48,10,N,124,56.72,W,48.1667,-124.9454
12,60-fm (110-m) Contour - Coastwide,48,6.9,N,124,57.72,W,48.115,-124.962
13,60-fm (110-m) Contour - Coastwide,48,2.23,N,125,0.2,W,48.0372,-125.0033
14,60-fm (110-m) Contour - Coastwide,48,0.87,N,125,0.37,W,48.0145,-125.0062
15,60-fm (110-m) Contour - Coastwide,47,56.3,N,124,59.51,W,47.9383,-124.9918
16,60-fm (110-m) Contour - Coastwide,47,46.84,N,124,57.34,W,47.7807,-124.9557
17,60-fm (110-m) Contour - Coastwide,47,36.49,N,124,50.93,W,47.6082,-124.8488
18,60-fm (110-m) Contour - Coastwide,47,32.01,N,124,48.45,W,47.5335,-124.8075
19,60-fm (110-m) Contour - Coastwide,47,27.19,N,124,46.47,W,47.4532,-124.7745
20,60-fm (110-m) Contour - Coastwide,47,21.76,N,124,43.29,W,47.3627,-124.7215
21,60-fm (110-m) Contour - Coastwide,47,17.82,N,124,42.12,W,47.297,-124.702
22,60-fm (110-m) Contour - Coastwide,47,8.87,N,124,43.1,W,47.1478,-124.7183
23,60-fm (110-m) Contour - Coastwide,47,3.16,N,124,42.61,W,47.0527,-124.7102
24,60-fm (110-m) Contour - Coastwide,46,49.7,N,124,36.8,W,46.8283,-124.6133
25,60-fm (110-m) Contour - Coastwide,46,42.91,N,124,33.2,W,46.7152,-124.5533
26,60-fm (110-m) Contour - Coastwide,46,39.67,N,124,30.59,W,46.6612,-124.5098
27,60-fm (110-m) Contour - Coastwide,46,38.17,N,124,29.7,W,46.6362,-124.4951
28,60-fm (110-m) Contour - Coastwide,46,32.47,N,124,26.34,W,46.5412,-124.439
29,60-fm (110-m) Contour - Coastwide,46,23.69,N,124,25.41,W,46.3948,-124.4235
30,60-fm (110-m) Contour - Coastwide,46,20.84,N,124,24.24,W,46.3473,-124.404
31,60-fm (110-m) Contour - Coastwide,46,16,N,124,19.1,W,46.2667,-124.3183
32,60-fm (110-m) Contour - Coastwide,46,15.97,N,124,18.8,W,46.2662,-124.3133
33,60-fm (110-m) Contour - Coastwide,46,11.23,N,124,19.96,W,46.1872,-124.3327
34,60-fm (110-m) Contour - Coastwide,46,2.51,N,124,19.84,W,46.0418,-124.3307
35,60-fm (110-m) Contour - Coastwide,45,59.05,N,124,16.52,W,45.9842,-124.2753
36,60-fm (110-m) Contour - Coastwide,45,50.99,N,124,12.83,W,45.8498,-124.2138
37,60-fm (110-m) Contour - Coastwide,45,46,N,124,11.58,W,45.7667,-124.193
38,60-fm (110-m) Contour - Coastwide,45,45.85,N,124,11.54,W,45.7642,-124.1923
39,60-fm (110-m) Contour - Coastwide,45,38.53,N,124,11.92,W,45.6422,-124.1987
40,60-fm (110-m) Contour - Coastwide,45,30.9,N,124,10.94,W,45.515,-124.1823
41,60-fm (110-m) Contour - Coastwide,45,21.2,N,124,9.12,W,45.3533,-124.152
42,60-fm (110-m) Contour - Coastwide,45,12.43,N,124,8.74,W,45.2072,-124.1457
43,60-fm (110-m) Contour - Coastwide,45,3.83,N,124,10.94,W,45.0638,-124.1823
44,60-fm (110-m) Contour - Coastwide,44,59.89,N,124,11.95,W,44.9982,-124.1992
45,60-fm (110-m) Contour - Coastwide,44,51.96,N,124,15.15,W,44.866,-124.2525
